code,x,y,z,cluster
SE3334,-0.70421267,4.081195,-0.6398246,20
S32021,-0.8830824,-5.508024,0.21944809,33
S32297,-1.8007917,0.9772744,3.0143166,39
S32302,-1.8349934,-5.9631176,0.9593086,14
S32120,1.609756,0.053697586,-0.59068155,43
S32387,-0.79179573,-5.3254576,-0.05735016,33
S31358,1.018467,-0.17943192,3.24928,4
S31936,0.9712181,3.517887,0.25766182,20
S31828,2.351407,-0.7765684,0.001327515,35
S31742,-0.2873187,4.2849674,-0.30947208,20
S32588,-4.0533705,-0.04190731,-0.14517212,26
S31389,-0.25673962,5.557375,-1.3550472,6
S31585,-3.2153912,1.2752476,-0.44779205,59
E32294,1.055646,-2.309473,0.54282,11
S31876,2.3843718,-0.77532196,-0.001135826,35
S31367,-3.658101,1.3174376,-0.27070618,53
S31844,-1.1734228,-0.78587437,2.1747704,51
S33160,-2.7267275,-0.26133823,0.69094133,37
E32437,-4.7584667,-0.61466885,-1.755785,9
S32724,-1.7876053,-1.3661928,1.655899,60
S33096,-5.1150723,-0.45651197,-1.8550048,9
S31911,-1.4845352,1.2279854,2.2912407,34
S31889,-1.0852714,-5.4793053,0.06912708,33
SE3071,-5.2836037,-0.48170662,-2.2552042,9
E32293,1.1351333,-1.1728115,-1.4419146,16
S32702,-4.007477,0.24194622,0.04761219,26
S33262,-0.3011837,5.6864977,-1.5175948,6
S32075,-2.21032,5.4688015,0.43889046,7
S31429,0.64213896,0.2915964,2.9482641,4
S32040,-2.1091204,4.8129215,0.20550251,7
S31339,8.024383,2.554501,-5.753514,0
S33036,-0.6296463,-3.1224937,1.7436752,30
S31379,0.97520065,-2.2574573,0.68638325,11
S31285,-5.1514664,-0.4611473,-2.101602,9
S35670,-0.76282835,-2.0471754,0.409822,29
S31716,-2.546187,-5.246729,-1.8551779,23
S31221,-3.1505342,1.3110714,-0.51418495,59
S32511,7.357072,3.5809498,-5.2661858,0
S32629,0.8632555,3.5913982,0.30837917,20
E32590,0.9990425,3.474185,0.23573399,20
S32235,-3.7805839,0.8515487,1.9641685,52
E32736,-3.2275152,-2.0371027,-1.0829563,27
S32373,-4.6768227,-0.7998152,-1.6503305,9
SE3067,-5.161214,-0.20196247,-2.0888586,9
E32248,-4.7782574,0.43396473,-1.5560007,9
S31831,1.4482698,-0.7686243,0.04561758,41
E32720,0.6621275,3.8813381,0.25347185,20
S32056,-0.5328808,-3.238062,1.7616763,30
S32605,-3.788724,0.36354685,1.5868697,55
SE2349,1.0319247,2.286996,-1.3222876,49
S32049,-0.029635906,-1.9377398,2.2331872,8
E32016,-0.659297,1.1804886,3.7124672,12
S33230,-2.6311588,-0.39647388,0.31762552,37
S32624,-0.75610447,3.977746,-0.5942912,20
E33302,-4.9606,0.1837635,-1.8066425,9
S31504,8.246796,2.4672294,-5.9070234,0
E31902,-3.2305317,-2.1129065,-0.9679861,27
S31994,-1.7639341,-6.183878,0.5680647,14
S31651,0.5737047,0.27858734,2.896616,4
S31754,0.43227577,0.5328512,2.8934135,4
S31732,2.1595755,-0.8260813,0.054213047,35
S31649,-3.5423298,1.2882309,-0.30264664,53
E32341,8.921976,1.9548912,-6.3228827,0
S32307,-4.1208477,0.24362612,0.3041916,26
S32713,1.0172272,-1.4660721,-1.0516243,16
S32213,-1.1325588,-4.5779305,-0.24715996,48
S32081,1.0718489,-2.2361917,0.5299864,11
S31273,-2.6997986,-5.5058403,-2.1613407,23
S31187,1.5017214,1.3130035,-0.82885695,42
S32621,-2.2501354,5.5704927,0.5021677,7
S31830,1.1040325,-2.315652,0.49445915,11
S32526,1.2211313,-1.430079,-1.0042644,16
S31269,1.1381779,-2.3080559,0.5502758,11
S32284,-2.1045537,-3.9971247,-0.9709525,22
S32072,0.22651196,1.3939877,0.12439442,3
S33233,-5.0993433,-0.57760525,-1.8711615,9
S31884,1.477603,0.11378908,2.3715563,2
S31562,7.612875,3.318554,-5.478814,0
S31140,1.1028786,-1.1983232,-1.4318094,16
S32639,0.90695095,3.6347027,0.3355837,20
S32052,-0.40744638,4.04679,-0.20924187,20
S31464,1.3106518,-2.139267,0.39132357,11
S32204,-2.2124772,4.8246393,-0.14826632,7
S31942,0.77661085,-2.3091373,0.63279724,11
S32062,1.4394741,0.026489735,2.4491062,2
S32515,1.0740705,-0.28464603,2.9914713,4
SE3066,-5.2509346,-0.5219488,-2.13371,9
SE3068,-5.141159,-0.4320135,-1.9583163,9
S32627,-1.776804,-1.3924341,1.653882,60
S32536,8.813963,1.9484568,-6.5089855,0
S32060,0.20378876,-2.1562624,2.265233,8
SE3072,-5.063175,-0.64432526,-1.8693266,9
S32798,-2.7886581,-2.6176834,-1.5593481,24
S32449,8.693332,2.428257,-5.9391537,0
E31921,8.812188,2.3278341,-6.465723,0
S31309,-0.90532017,-5.506834,-0.07129145,33
S32068,-2.6036124,5.346799,0.41103745,7
E32417,-0.47961903,-3.056446,0.5392685,10
S31846,-0.16179085,-3.6270638,2.6648445,30
S32030,8.722411,2.2484112,-5.905715,0
E32245,1.0076599,-1.2835379,-1.4753923,16
S33158,-2.7502842,-0.18996096,1.6277847,40
E32361,-2.797637,-2.5784807,-1.4335604,24
E32361,-2.7794895,-2.5612059,-1.4115448,24
S31799,1.6021566,-0.8855772,0.14497662,41
S31396,-0.110901356,3.9859982,0.08251381,20
S32182,0.27972555,-2.1872244,2.2975998,8
S32083,9.374733,2.5241833,-6.1105013,0
S31539,-1.3910961,1.0405302,2.4451447,34
S31362,-1.395555,3.9364128,-0.20861483,17
S31176,-4.9044685,0.1838789,-1.6610351,9
S32813,8.52781,1.7552648,-6.0377445,0
S31453,0.9796572,-1.2550297,0.055926323,41
